name,phone,language,form_type,source,device,service,consent,submitted_at,time_on_page_sec,hour,weekday
Мадина,77174891590,ru,hero_quick_form,instagram,tablet,labor_disputes,True,2026-06-15 10:15:00,57,10,Monday
Мөлдір,77173428539,kz,contact_form,referral,tablet,labor_disputes,True,2026-07-01 09:00:00,23,9,Wednesday
Серік,77175168555,kz,hero_quick_form,organic,mobile,labor_disputes,True,2026-06-29 21:00:00,141,21,Monday
Аружан,77173075480,ru,hero_quick_form,instagram,mobile,tax_consulting,True,2026-06-24 13:00:00,106,13,Wednesday
Аяулым,77171365919,kz,hero_quick_form,organic,desktop,subscription,True,2026-06-25 18:00:00,188,18,Thursday
Айгерим,77174488867,ru,contact_form,organic,mobile,court_representation,True,2026-06-25 10:00:00,72,10,Thursday
Дәулет,77174283991,kz,hero_quick_form,referral,mobile,tax_consulting,True,2026-06-23 17:45:00,131,17,Tuesday
Аяулым,77178222954,kz,contact_form,referral,desktop,court_representation,True,2026-06-23 10:15:00,118,10,Tuesday
Дәулет,77178181533,kz,contact_form,direct,mobile,tax_consulting,True,2026-07-03 03:30:00,78,3,Friday
Жанар,77173360675,kz,contact_form,organic,desktop,court_representation,True,2026-06-22 09:00:00,76,9,Monday
Жанар,77172129905,kz,contact_form,organic,mobile,court_representation,True,2026-06-17 12:00:00,44,12,Wednesday
Динара,77171019327,ru,hero_quick_form,google_ads,mobile,subscription,True,2026-06-22 01:15:00,62,1,Monday
Ерлан,77176765705,ru,contact_form,organic,mobile,tax_consulting,True,2026-06-20 10:30:00,126,10,Saturday
Айгерим,77175916705,ru,contact_form,organic,mobile,tax_consulting,True,2026-06-20 22:30:00,46,22,Saturday
Бақыт,77173177994,kz,hero_quick_form,organic,mobile,debt_recovery,True,2026-06-17 03:45:00,141,3,Wednesday
Динара,77178122250,ru,hero_quick_form,organic,tablet,business_registration,True,2026-06-23 19:00:00,106,19,Tuesday
Аяулым,77172176276,kz,hero_quick_form,referral,tablet,contract_law,True,2026-06-25 10:30:00,46,10,Thursday
Бақыт,77179648511,kz,hero_quick_form,instagram,tablet,debt_recovery,True,2026-06-23 17:00:00,116,17,Tuesday
Санжар,77178586253,ru,hero_quick_form,direct,mobile,subscription,True,2026-06-26 02:15:00,77,2,Friday
Ерлан,77179878933,ru,hero_quick_form,organic,mobile,family_law,True,2026-06-29 02:45:00,95,2,Monday
Тимур,77171731244,ru,contact_form,referral,mobile,tax_consulting,True,2026-06-30 17:00:00,127,17,Tuesday
Нұрсұлтан,77171702329,kz,contact_form,organic,desktop,subscription,True,2026-06-28 17:00:00,47,17,Sunday
Айгерим,77173452397,ru,contact_form,referral,mobile,labor_disputes,True,2026-06-18 03:00:00,115,3,Thursday
Мөлдір,77179782983,kz,hero_quick_form,direct,desktop,labor_disputes,True,2026-07-01 21:15:00,118,21,Wednesday
Айгерим,77171989091,ru,contact_form,organic,mobile,debt_recovery,True,2026-07-03 22:45:00,137,22,Friday
Дәулет,77171663476,kz,hero_quick_form,direct,mobile,family_law,True,2026-06-16 03:30:00,156,3,Tuesday
Гульнара,77177422953,ru,contact_form,referral,tablet,family_law,True,2026-06-22 13:00:00,36,13,Monday
