name,phone,language,form_type,source,device,service,consent,submitted_at,time_on_page_sec
Мадина,8-717-489-15-90,ru,hero_quick_form,instagram,tablet,labor_disputes,true,2026-06-15T10:15:00,57
Мөлдір,+7 717 342 85 39,kz,contact_form,referral,tablet,labor_disputes,true,2026-07-01T09:00:00,23
Серік,77175168555,kz,hero_quick_form,organic,mobile,labor_disputes,true,2026-06-29T21:00:00,141
Аружан,77173075480,ru,hero_quick_form,instagram,mobile,tax_consulting,true,2026-06-24T13:00:00,106
Аяулым,77171365919,kz,hero_quick_form,organic,desktop,subscription,true,2026-06-25T18:00:00,188
Айгерим,+77174488867,ru,contact_form,organic,mobile,court_representation,true,2026-06-25T10:00:00,72
Дәулет,77174283991,kz,hero_quick_form,referral,mobile,tax_consulting,true,2026-06-23T17:45:00,131
Аяулым,77178222954,kz,contact_form,referral,desktop,court_representation,true,2026-06-23T10:15:00,118
Дәулет,77178181533,kz,contact_form,direct,mobile,tax_consulting,true,2026-07-03T03:30:00,78
Жанар,77173360675,kz,contact_form,organic,desktop,court_representation,true,2026-06-22T09:00:00,76
Жанар,8-717-212-99-05,kz,contact_form,organic,mobile,court_representation,true,2026-06-17T12:00:00,44
Динара,77171019327,ru,hero_quick_form,google_ads,mobile,subscription,true,2026-06-22T01:15:00,62
Ерлан,77176765705,ru,contact_form,organic,mobile,tax_consulting,true,2026-06-20T10:30:00,126
Айгерим,+7 717 591 67 05,ru,contact_form,organic,mobile,tax_consulting,true,2026-06-20T22:30:00,46
Дамир,77174abc290,ru,contact_form,referral,tablet,tax_consulting,true,2026-06-25T06:00:00,151
Бақыт,77173177994,kz,hero_quick_form,organic,mobile,debt_recovery,true,2026-06-17T03:45:00,141
Динара,+7 717 812 22 50,ru,hero_quick_form,organic,tablet,business_registration,true,2026-06-23T19:00:00,106
Аяулым,+77172176276,kz,hero_quick_form,referral,tablet,contract_law,true,2026-06-25T10:30:00,46
Бақыт,77179648511,kz,hero_quick_form,instagram,tablet,debt_recovery,true,2026-06-23T17:00:00,116
Санжар,+77178586253,ru,hero_quick_form,direct,mobile,subscription,true,2026-06-26T02:15:00,77
Ерлан,77179878933,ru,hero_quick_form,organic,mobile,family_law,true,2026-06-29T02:45:00,95
Тимур,77171731244,ru,contact_form,referral,mobile,tax_consulting,true,2026-06-30T17:00:00,127
Нұрсұлтан,8-717-170-23-29,kz,contact_form,organic,desktop,subscription,true,2026-06-28T17:00:00,47
Айгерим,77173452397,ru,contact_form,referral,mobile,labor_disputes,true,2026-06-18T03:00:00,115
Мөлдір,77179782983,kz,hero_quick_form,direct,desktop,labor_disputes,true,2026-07-01T21:15:00,118
Айгерим,8-717-198-90-91,ru,contact_form,organic,mobile,debt_recovery,true,2026-07-03T22:45:00,137
Дәулет,77171663476,kz,hero_quick_form,direct,mobile,family_law,true,2026-06-16T03:30:00,156
Гульнара,77177422953,ru,contact_form,referral,tablet,family_law,true,2026-06-22T13:00:00,36
Айгерим,77172980815,ru,contact_form,organic,mobile,labor_disputes,true,2026-06-24T07:00:00,43
Серік,77175154974,kz,contact_form,google_ads,mobile,subscription,true,2026-06-17T22:45:00,48
Нурлан,77174185138,ru,contact_form,direct,desktop,business_registration,true,2026-06-28T19:45:00,75
Бекзат,77171577920,ru,contact_form,organic,mobile,labor_disputes,,2026-06-23T11:00:00,42
Ерлан,77176765705,ru,contact_form,organic,mobile,tax_consulting,true,2026-06-20T10:30:00,126
Гульнара,77177253109,ru,contact_form,organic,mobile,court_representation,true,2026-06-25T10:00:00,72
Бекзат,8-717-252-19-36,ru,contact_form,google_ads,mobile,court_representation,true,2026-06-20T20:15:00,93
Аружан,+77172053424,ru,hero_quick_form,google_ads,mobile,subscription,true,2026-06-24T10:30:00,130
Дәулет,+77176194349,kz,contact_form,organic,desktop,court_representation,,2026-06-25T04:30:00,4
Тимур,77174905896,ru,hero_quick_form,google_ads,tablet,labor_disputes,true,2026-06-30T14:45:00,101
Аяулым,77176abc075,kz,contact_form,organic,mobile,family_law,true,2026-06-25T08:15:00,67
